station_id,clay_pct_first,sand_pct_first,organic_carbon_pct_first,saturation_first,latitude_first,longitude_first,elevation_m_first,precipitation_mm_mean,et0_mm_mean,temperature_mean_c_mean,residual_mean,residual_std,soil_moisture_mean,soil_moisture_std,physics_prior_mean,physics_prior_std,cluster
"CSIR-SARI,_Nyankpala_-_Tamale",10.0,79.0,0.53,0.41,9.40083,-1.00191,191.0,3.0260722347629794,4.842878103837472,27.89604966139955,0.11281921414860047,0.04613878050488021,0.17657591179414683,0.055555865128645465,0.06375669764554626,0.042684133184597454,1
College_de_Rushaki,39.0,36.0,3.21,0.51,-1.45486,30.09317,1831.0,2.979981290926099,3.7411693171188025,18.305238540692233,-0.028823630096858455,0.04825185171622358,0.302267364189748,0.04498022784147807,0.33109099428660643,0.02473857558600533,2
"Daffiama_SHS,_Daffiama",24.0,56.0,0.74,0.41,10.42496,-2.55448,330.0,2.280266666666667,5.563746666666667,27.934266666666666,-0.030299382542345137,0.044319009868506024,0.11442047826086954,0.054830482681134975,0.14471986080321467,0.06344044016953995,0
Dedan_Kimathi_University_of_Technology,70.0,24.0,1.5,0.52,-0.40389,36.96573,1753.0,5.470650887573965,3.606189349112426,16.787100591715976,-0.16334345760309085,0.056352319331380255,0.24419408251922511,0.05415269396889161,0.407537540122316,0.0636422354299402,3
ES_Kigoma,28.0,51.0,1.43,0.44,-2.25891,29.79416,1761.0,3.322842105263158,3.8119789473684214,18.768947368421053,-0.07480046602545447,0.04424012119296389,0.1631439609302507,0.04949052140902049,0.23794442695570514,0.03306617140730036,2
ES_Mibilizi_A,57.0,23.0,4.43,0.51,-2.57095,28.9546,1838.0,3.934003350083752,3.5932998324958123,17.57989949748744,-0.2746861721500246,0.10729903906021172,0.04247832989235897,0.016112813434771823,0.31716450204238356,0.11782482995423224,3
ES_Nyange,39.0,36.0,3.21,0.51,-2.06201,29.5918,1827.0,3.5145333333333335,3.7333866666666666,18.25733333333333,0.0209820577530108,0.030537893874455276,0.37214359604348524,0.024472187726560273,0.3511615382904744,0.03000552483638574,2
GS_St_Pierre_Nkombo,,,,,-2.40513,28.90034,1555.0,5.2412816691505215,3.804873323397914,19.945305514157972,-0.17304038885120016,0.037656698512840724,0.04111657802005236,0.0020590826522076445,0.21415696687125252,0.038663495666991704,3
"Gbewaa_College_of_Education,_Pusiga",55.0,16.0,0.75,0.52,11.06886,-0.11478,260.0,1.8216467463479415,5.672151394422311,28.453652058432933,-0.06209841207678592,0.07337101437895749,0.1801080667997166,0.0725985655292372,0.2422064788765025,0.12063243922264336,0
"Han_SHS,_Han",24.0,56.0,0.74,0.41,10.67041,-2.46477,320.0,2.503419972640219,5.557058823529411,28.3296853625171,0.0008890504091358309,0.04863617269317414,0.15150525288059957,0.06609440070733931,0.1506162024714637,0.0715089239810511,0
Imurtott_Primary_school,0.0,0.0,33.87,3.82,-2.88283,37.38735,1853.0,3.217161290322581,3.5875612903225806,16.768645161290323,0.09743540787079243,0.10630495064691126,0.2769655688512894,0.041915026573124736,0.17953016098049698,0.13734893882057617,1
Irbaan_Primary,19.0,56.0,0.65,0.41,-1.46418,35.28793,1605.0,2.456675062972292,4.624017632241813,19.922418136020152,0.07723348417213825,0.05899330462952314,0.25184062297929527,0.059256100276799506,0.17460713880715695,0.05104327056010573,1
Juaboso_SHS,23.0,49.0,0.58,0.41,6.34518,-2.82625,172.0,3.653488372093023,3.563168604651163,25.95610465116279,-0.006910754533102525,0.0432583951910895,0.19737264453514805,0.05927024134796948,0.20428339906825055,0.07849260954231482,2
"KNUST_Farm,_Kumasi",23.0,43.0,1.4,0.45,6.69099,-1.51909,274.0,4.330510510510511,3.6495435435435435,25.623363363363364,-0.09669722033984683,0.06916770964199381,0.15106315720116653,0.05445443771909391,0.24776037754101338,0.06497489859109867,2
"Kajaji_SHS,_Kajaji",24.0,56.0,0.74,0.41,7.78199,-0.21264,130.0,2.670673712021136,4.530515191545574,28.292866578599735,-0.033696286387276404,0.03954639101463218,0.10892000898944064,0.05288978573704597,0.14261629537671702,0.057166475023665834,2
Kenya_Meteorological_Department,,,,,-1.30184,36.7602,1798.0,3.3013708019191226,3.8032008224811515,17.452021932830707,0.027672091314125534,0.07440803964316924,0.2616390452611993,0.06584405299100085,0.2339669539470737,0.048053525208878026,2
Kibaale_Bridge-Rakai_CHAI,28.0,43.0,0.39,0.42,-0.77946,31.34539,1227.8,2.3993939393939394,3.902,21.012878787878787,-0.053257872906425495,0.053004264185194126,0.18209530866021648,0.042598160855885664,0.23535318156664198,0.030483713613169247,2
Kibabii_University,11.0,81.0,0.54,0.41,0.62025,34.52089,1509.0,4.982978723404256,4.072165206508135,19.897622027534418,0.12808403702703142,0.04218253819988694,0.25322371354538437,0.05202056392077988,0.1251396765183529,0.033302999689120164,1
